epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,3491.32,1.0849,0.60753,1.10827,0.91697,0.805,0.88329,0.67544,0.85283,0.52627,1.043,0.0012476,0.0012476,0.0012476
78,3531.85,1.08585,0.61563,1.11127,0.92849,0.80569,0.88438,0.67703,0.85194,0.50259,1.04104,0.0012377,0.0012377,0.0012377
79,3578.18,1.08182,0.6132,1.11714,0.92562,0.8124,0.88953,0.68975,0.8352,0.48823,1.03743,0.0012278,0.0012278,0.0012278
80,3606.45,1.05706,0.59612,1.09978,0.93371,0.80245,0.88734,0.68067,0.85829,0.51065,1.04277,0.0012179,0.0012179,0.0012179
81,3776.59,1.10024,0.61409,1.11865,0.91707,0.80322,0.88267,0.66963,0.88614,0.50989,1.04451,0.001208,0.001208,0.001208
82,4864.2,1.05357,0.59698,1.08436,0.91416,0.80014,0.88343,0.66454,0.89196,0.51972,1.06075,0.0011981,0.0011981,0.0011981
83,4889.44,1.05276,0.59697,1.0985,0.91603,0.78718,0.87443,0.6798,0.83634,0.5337,1.04019,0.0011882,0.0011882,0.0011882
84,4913.46,1.01758,0.57224,1.07857,0.91848,0.81888,0.89097,0.68012,0.87436,0.49953,1.04355,0.0011783,0.0011783,0.0011783
85,4947.95,1.03163,0.59137,1.09365,0.92725,0.79806,0.88738,0.68325,0.84714,0.49203,1.03587,0.0011684,0.0011684,0.0011684
86,4969.04,1.05826,0.59471,1.10212,0.92782,0.81775,0.89086,0.66142,0.93938,0.51195,1.05918,0.0011585,0.0011585,0.0011585
87,4990.38,1.03809,0.59806,1.10181,0.92563,0.81078,0.89052,0.65498,0.96218,0.51556,1.0647,0.0011486,0.0011486,0.0011486
88,5051.62,1.02059,0.58844,1.08517,0.93129,0.80896,0.88735,0.654,0.97276,0.51837,1.05864,0.0011387,0.0011387,0.0011387
89,5089.52,1.01966,0.57466,1.09056,0.91784,0.80627,0.88159,0.66193,0.93058,0.52116,1.06238,0.0011288,0.0011288,0.0011288
90,5124.9,1.04689,0.59,1.092,0.91631,0.81864,0.88587,0.67291,0.86714,0.50066,1.04482,0.0011189,0.0011189,0.0011189
91,5153.62,1.06862,0.59549,1.10161,0.91696,0.81795,0.88744,0.68285,0.85093,0.48747,1.03136,0.001109,0.001109,0.001109
92,5224.47,1.02974,0.58198,1.08492,0.92748,0.80662,0.88491,0.69095,0.80401,0.49209,1.02838,0.0010991,0.0010991,0.0010991
93,5262.19,1.01083,0.58166,1.0857,0.93756,0.81618,0.89262,0.68109,0.88486,0.49567,1.02934,0.0010892,0.0010892,0.0010892
94,5284.92,1.03177,0.58322,1.08519,0.93345,0.81934,0.89635,0.67225,0.93621,0.49204,1.05235,0.0010793,0.0010793,0.0010793
95,5316.35,1.00857,0.57206,1.07911,0.92443,0.82347,0.8982,0.69639,0.83268,0.48634,1.02316,0.0010694,0.0010694,0.0010694
96,5354.78,1.01321,0.56579,1.07782,0.92288,0.82215,0.89478,0.69968,0.80294,0.47733,1.01534,0.0010595,0.0010595,0.0010595
97,5383.75,1.04162,0.58419,1.08615,0.91886,0.81204,0.89104,0.68677,0.81472,0.49466,1.03224,0.0010496,0.0010496,0.0010496
98,5436.78,1.03207,0.58361,1.09777,0.92873,0.81818,0.891,0.68387,0.86085,0.48538,1.03136,0.0010397,0.0010397,0.0010397
99,5476.8,0.98597,0.5777,1.08744,0.93491,0.81517,0.89136,0.6802,0.87391,0.48885,1.03559,0.0010298,0.0010298,0.0010298
100,5512.48,1.03116,0.59125,1.099,0.90551,0.82327,0.8899,0.69195,0.80803,0.48137,1.02222,0.0010199,0.0010199,0.0010199
101,5538.75,1.00971,0.58077,1.0936,0.92959,0.81564,0.89071,0.69733,0.79306,0.4704,1.02824,0.00101,0.00101,0.00101
102,5571.24,0.99408,0.56093,1.06301,0.93003,0.821,0.89289,0.69636,0.82393,0.46948,1.02024,0.0010001,0.0010001,0.0010001
103,5590.23,0.99498,0.55982,1.06661,0.94297,0.81078,0.89366,0.70196,0.8176,0.46578,1.01837,0.0009902,0.0009902,0.0009902
104,5627.48,1.03095,0.58693,1.0933,0.91671,0.82304,0.89565,0.69844,0.80263,0.48489,1.02213,0.0009803,0.0009803,0.0009803
105,5653.44,1.0343,0.57218,1.0872,0.9348,0.81583,0.89746,0.70918,0.78291,0.4698,1.01359,0.0009704,0.0009704,0.0009704
106,5669.81,1.02384,0.58109,1.08635,0.93187,0.82265,0.89837,0.70401,0.79916,0.49017,1.01375,0.0009605,0.0009605,0.0009605
107,5707.84,1.00341,0.56126,1.06618,0.92346,0.83276,0.89844,0.69376,0.8408,0.47572,1.02207,0.0009506,0.0009506,0.0009506
108,5739.19,0.9657,0.55521,1.06464,0.93306,0.81893,0.89865,0.70836,0.78651,0.4633,1.00922,0.0009407,0.0009407,0.0009407
109,5757.72,1.00711,0.56318,1.07672,0.93487,0.82344,0.90124,0.69164,0.85373,0.4736,1.02207,0.0009308,0.0009308,0.0009308
110,5787.26,0.97205,0.55069,1.06144,0.93042,0.81664,0.89497,0.69188,0.80565,0.48007,1.0188,0.0009209,0.0009209,0.0009209
111,5831.59,0.97836,0.55513,1.06695,0.94541,0.81679,0.90285,0.70613,0.81201,0.46602,1.0091,0.000911,0.000911,0.000911
112,5843.68,0.99379,0.54974,1.05954,0.93156,0.82535,0.90029,0.68384,0.8806,0.47318,1.03205,0.0009011,0.0009011,0.0009011
113,5878.92,0.97934,0.55433,1.06197,0.93841,0.82674,0.8967,0.68032,0.89073,0.46982,1.03312,0.0008912,0.0008912,0.0008912
114,5907.85,0.97334,0.5505,1.06408,0.93575,0.82836,0.89971,0.7039,0.79695,0.4578,1.01396,0.0008813,0.0008813,0.0008813
115,5939.46,0.97574,0.55005,1.05199,0.93177,0.82448,0.89644,0.68956,0.84298,0.4631,1.02717,0.0008714,0.0008714,0.0008714
116,5961.71,0.98251,0.55108,1.07249,0.93009,0.82788,0.89774,0.70556,0.79504,0.45564,1.01621,0.0008615,0.0008615,0.0008615
117,5974.07,0.96558,0.53874,1.05249,0.94103,0.8205,0.89796,0.68987,0.85782,0.46124,1.02592,0.0008516,0.0008516,0.0008516
118,6018.94,0.96422,0.5451,1.05458,0.93873,0.82142,0.89847,0.69506,0.83648,0.46156,1.01735,0.0008417,0.0008417,0.0008417
119,6037.1,0.98221,0.55223,1.06074,0.93855,0.82325,0.89692,0.70306,0.79448,0.45714,1.0083,0.0008318,0.0008318,0.0008318
120,6092.87,0.98049,0.55586,1.07172,0.93807,0.8235,0.89858,0.71416,0.7558,0.45786,1.00154,0.0008219,0.0008219,0.0008219
121,6130.23,0.95375,0.53523,1.04606,0.93704,0.82632,0.90281,0.71539,0.77532,0.45155,1.01073,0.000812,0.000812,0.000812
122,6180.18,0.96907,0.5466,1.06423,0.93379,0.82489,0.89779,0.70834,0.78805,0.45203,1.00621,0.0008021,0.0008021,0.0008021
123,6284.17,0.9891,0.5547,1.06177,0.93186,0.82235,0.89507,0.70744,0.78834,0.45272,1.00015,0.0007922,0.0007922,0.0007922
124,6331.37,0.95611,0.54354,1.05658,0.93806,0.82677,0.89825,0.71664,0.74631,0.44953,0.99794,0.0007823,0.0007823,0.0007823
